mos_id,dms_id,c_lote_origen,c_lote_destino,f_movimiento
1468086,1,44623010006001,43123010106001,2023-01-19 02:10:00
1468086,1,44622120011001,43123010106001,2023-01-19 02:10:00
1468090,1,30023010001001,30023010004001,2023-01-18 23:00:00
1468131,1,31122050004001,43323010017001,2023-01-18 09:00:00
1468133,1,43222110021001,43122100066001,2023-01-19 14:10:00
1468137,1,43122100066001,43223010033001,2023-01-21 10:40:00
1468139,1,44023010010001,43123010046001,2023-01-19 18:00:00
1468144,1,30022090021001,43122120030001,2023-01-23 15:00:00
1468154,1,43123010004001,43122120030001,2023-01-23 16:40:00
1468155,1,43223010020001,43122100064001,2023-01-21 14:30:00
1468155,1,43223010019001,43122100064001,2023-01-21 14:30:00
1468159,1,44022080015001,43123010118001,2023-01-23 12:00:00
1468159,1,43222120008001,43123010118001,2023-01-23 12:00:00
1468189,1,43122110127001,43323010018001,2023-01-24 12:00:00
1468189,1,30022080210001,43323010018001,2023-01-24 12:00:00
1468189,1,30022080223001,43323010018001,2023-01-24 12:00:00
1468190,1,30022080210001,43323010019001,2023-01-24 12:00:00
1468222,1,43123010046001,43323010020001,2023-01-21 16:00:00
1468239,1,43123010096001,43323010023001,2023-01-21 12:30:00
1468273,1,43323010018001,43223010034001,2023-01-26 02:00:00
1468274,1,43323010018001,30020050060001,2023-01-26 02:05:00
1468276,1,43322100034001,43123010134001,2023-01-26 14:10:00
1468277,1,43322100034001,30020050060001,2023-01-26 14:15:00
1468305,1,44622120011001,43123010106001,2023-01-19 21:15:00
1468312,1,44622110010001,43123010063001,2023-01-20 18:00:00
1468322,1,44623010007001,44623010006001,2023-01-20 00:00:00
1468333,1,44023010013001,44023010010001,2023-01-20 22:00:00
1468338,1,44023010013001,43123010142001,2023-01-20 23:00:00
1468364,1,44023010013001,43523010037001,2023-01-23 21:00:00
1468419,1,44622120011001,43123010151001,2023-01-26 23:05:00
1468425,1,28200001389001,43123010157001,2023-01-26 04:00:00
1468425,1,44622120011001,43123010157001,2023-01-26 04:00:00
1468434,1,44622120011001,43123010151001,2023-01-26 23:07:00
1468443,1,44023010010001,44023010015001,2023-01-26 23:10:00
1468447,1,43223010033001,30023010009001,2023-01-27 10:00:00
1468457,1,43322120030001,30023010010001,2023-01-27 16:00:00
1468474,1,30023010010001,43122100064001,2023-01-27 19:10:00
1468475,1,30023010010001,46022120014001,2023-01-27 19:15:00
1468477,1,43223010001001,43223010047001,2023-01-31 17:00:00
1468480,1,43323010023001,43122090218001,2023-01-30 20:55:00
1468485,1,28200001389001,30022080080001,2023-01-31 09:00:00
1468494,1,44023010015001,43123010142001,2023-01-27 08:00:00
1468522,1,44023010015001,44023010019001,2023-01-31 09:50:00
1468566,1,30023010007001,46022120014001,2023-01-23 16:00:00
1468568,1,43123010038001,43223010008001,2023-01-30 16:00:00
1468569,1,43123010038001,46222120005001,2023-01-30 16:00:00
1468572,1,43122090044001,43122090033001,2023-01-31 09:00:00
1468572,1,43122040134001,43122090033001,2023-01-31 09:00:00
1468573,1,43122040134001,43122090034001,2023-01-31 09:00:00
1468574,1,43122040134001,43122110059001,2023-01-31 09:00:00
1468575,1,43122040134001,43122040133001,2023-01-31 09:00:00
1468576,1,43122040134001,43122110058001,2023-01-31 09:00:00
1468592,1,43323010019001,46023010020001,2023-01-31 09:00:00
1468593,1,43323010019001,46023010021001,2023-01-31 09:00:00
1468612,1,43222120020001,46022120014001,2023-01-30 17:00:00
1468620,1,43323010014001,30020050060001,2023-02-01 14:00:00
1468629,1,30022080080001,43223020002001,2023-02-04 03:00:00
1468630,1,30022080080001,46023010020001,2023-02-04 03:05:00
1468661,1,43122090218001,30022100028001,2023-02-02 11:00:00
1468685,1,43323010015001,43122120030001,2023-02-06 18:30:00
1468714,1,44023010019001,43122100104001,2023-02-10 09:00:00
1468715,1,43122100104001,43223020003001,2023-02-11 14:20:00
1468716,1,43122100104001,30020050060001,2023-02-11 14:25:00
1468718,1,13022080215001,43323020004001,2023-02-07 10:30:00
1468718,1,13022080216001,43323020004001,2023-02-07 10:30:00
1468718,1,13022080216002,43323020004001,2023-02-07 10:30:00
1468718,1,13022080213001,43323020004001,2023-02-07 10:30:00
1468718,1,13022080213002,43323020004001,2023-02-07 10:30:00
1468718,1,13022080214001,43323020004001,2023-02-07 10:30:00
1468747,1,43323020004001,43123020022001,2023-02-09 12:30:00
1468747,1,43122090218001,43123020022001,2023-02-09 12:30:00
1468748,1,43323020004001,43123020023001,2023-02-09 12:30:00
1468748,1,43122090218001,43123020023001,2023-02-09 12:30:00
1468749,1,43323020004001,30020050060001,2023-02-09 12:35:00
1468749,1,43122090218001,30020050060001,2023-02-09 12:35:00
1468756,1,43323010020001,43122100064001,2023-02-10 16:15:00
1468792,1,43223010001001,30020050060001,2023-02-01 00:00:00
1468803,1,43222120020001,30020050060001,2023-02-13 14:05:00
1468833,1,43323010014001,43223020004001,2023-02-03 12:00:00
1468834,1,43323010014001,30020050060001,2023-02-03 12:05:00
1468843,1,44023010019001,43123010142001,2023-02-02 15:05:00
1468846,1,44023020001001,43123020031001,2023-02-02 16:40:00
1468848,1,44023010015001,30022120018001,2023-02-02 22:00:00
1468852,1,28200001389001,43123010171001,2023-02-03 17:20:00
1468858,1,44622120011001,43123020031001,2023-02-03 23:00:00
1468860,1,43223020004001,43223020005001,2023-02-03 17:30:00
1468860,1,43323010014001,43223020005001,2023-02-03 17:30:00
1468861,1,43223020004001,30020050060001,2023-02-03 17:45:00
1468861,1,43323010014001,30020050060001,2023-02-03 17:45:00
1468867,1,44022100029001,44023010010001,2023-02-07 10:50:00
1468868,1,44022100029001,44022060005001,2023-02-07 10:50:00
1468869,1,44022100029001,30020050060001,2023-02-07 10:55:00
1468911,1,43322120025001,30023020001001,2023-02-14 12:00:00
1468915,1,30023020001001,43123010134001,2023-02-14 18:35:00
1468931,1,30023020001001,30020050060001,2023-02-14 18:40:00
1468954,1,44622120011001,43123020031001,2023-02-10 10:00:00
1468956,1,44023020001001,43123020031001,2023-02-10 23:30:00
1468956,1,44622120011001,43123020031001,2023-02-10 23:30:00
1468972,1,44023010019001,43123020029001,2023-02-14 09:00:00
1469005,1,44023020005001,43123010142001,2023-02-13 12:15:00
1469009,1,44622120011001,30023020009001,2023-02-13 11:00:00
1469013,1,44023010019001,44023010010001,2023-02-14 09:01:00
1469035,1,44622120011001,44623010016001,2023-02-13 18:00:00
1469048,1,28200001389001,44022060005001,2023-02-14 00:05:00
1469061,1,44023020005001,43323020010001,2023-02-16 09:00:00
1469096,1,43323010014001,43223020005001,2023-02-03 19:00:00
1469097,1,43323010014001,30020050060001,2023-02-03 19:10:00
1469166,1,30022120016001,43223010002001,2023-02-16 16:25:00
1469178,1,43123020022001,43322100005001,2023-02-17 16:00:00
1469181,1,43222110021001,43123020090001,2023-02-20 18:35:00
1469183,1,43123020022001,43122090219001,2023-02-20 19:00:00
1469185,1,43222110021001,43223010002001,2023-02-17 17:20:00
1469186,1,43222090006001,43223010002001,2023-02-17 17:20:00
1469186,1,43222110021001,43223010002001,2023-02-17 17:20:00
1469186,1,43223010014001,43223010002001,2023-02-17 17:20:00
1469194,1,44023010010001,43120030144001,2023-02-20 14:40:00
1469222,1,30022120040001,30020050006001,2023-02-15 16:30:00
1469230,1,44022120007001,43123020099001,2023-02-16 14:00:00
1469230,1,44023020005001,43123020099001,2023-02-16 14:00:00
1469255,1,44023020001001,44023020011001,2023-02-16 22:00:00
1469268,1,44623010012001,43123020065001,2023-02-16 19:00:00
1469278,1,44023020005001,43123010142001,2023-02-17 12:30:00
1469289,1,43123020099001,43123010142001,2023-02-17 14:00:00
1469305,1,44623010006001,44023020010001,2023-02-17 20:00:00
1469307,1,44623010012001,44623010016001,2023-02-18 02:40:00
1469398,1,43222120020001,30023020011001,2023-02-20 16:30:00
1469402,1,30022080071001,43223020023001,2023-02-20 18:00:00
1469406,1,30022080071001,30020050006001,2023-02-20 18:30:00
1469433,1,43223010014001,43123020123001,2023-02-21 17:30:00
1469517,1,30022110010001,43123010044001,2023-02-23 22:30:00
1469567,1,44023020001001,44023020011001,2023-02-22 22:00:00
1469570,1,44022120025001,30022120015001,2023-02-22 05:00:00
1469571,1,30022120015001,30023020017001,2023-02-22 05:01:00
1469580,1,43223010014001,30021120046001,2023-02-22 18:00:00
1469580,1,43222070001001,30021120046001,2023-02-22 18:00:00
1469580,1,31122050002001,30021120046001,2023-02-22 18:00:00
1469583,1,31122050002001,43223020029001,2023-02-22 14:30:00
1469595,1,43223020029001,28200001371001,2023-02-22 20:03:00
1469600,1,30022110009001,30020050060001,2023-02-27 10:50:00
1469602,1,30023020011001,30023020018001,2023-02-27 15:00:00
1469608,1,43123020022001,30022080176001,2023-02-27 23:59:00
1469613,1,43223020002001,30022080081001,2023-02-28 02:00:00
1469618,1,31122050002001,43323020021001,2023-02-17 03:30:00
1469721,1,46222120005001,43122110176001,2023-02-28 11:55:00
1469742,1,30022120016001,28000001422001,2023-02-23 09:00:00
1469744,1,44023020016001,28000001422001,2023-02-23 17:30:00
1469753,1,43123010084001,30020050060001,2023-02-06 19:30:00
1469763,1,28100001427001,28100001420001,2023-02-20 14:30:01
1469774,1,28100001429003,28100001420001,2023-02-25 02:10:00
1469775,1,31122050002001,43323020023001,2023-02-22 06:00:00
1469793,1,31122050002001,43323020023001,2023-02-23 17:00:00
1469797,1,31122050002001,43323020023001,2023-02-23 23:00:00
1469799,1,44023020016001,43323020022001,2023-02-24 17:31:00
1469818,1,44623020015001,44623010016001,2023-02-24 00:15:00
1469820,1,44023020010001,43123020168001,2023-02-24 22:00:00
1469820,1,44022120025001,43123020168001,2023-02-24 22:00:00
1469866,1,44023020023001,44023020018001,2023-02-26 08:15:00
1469884,1,31122050002001,43323020023001,2023-02-27 10:30:00
1469909,1,44023020011001,30023020015001,2023-02-28 18:00:00
1469918,1,28000001430001,44523020025001,2023-02-28 23:00:01
1469922,1,30021040041001,43123010174001,2023-02-28 19:00:00
1469923,1,44023020011001,44023010002001,2023-02-28 23:00:00
1469924,1,44023020011001,43123020103001,2023-02-28 23:00:00
1469925,1,44023020011001,44023010002001,2023-02-28 23:10:00
1469926,1,46222120005001,30020050006001,2023-02-28 23:00:00
1469927,1,44022080026001,44023020005001,2023-02-28 23:00:00
1469928,1,44623020015001,30022120016001,2023-02-28 23:00:00
1469929,1,44623020015001,44623010016001,2023-02-28 23:05:00
1469930,1,44623020015001,43123020103001,2023-02-28 23:30:00
1469932,1,31122050002001,43323020023001,2023-02-28 03:00:00
1469944,1,43122110176001,43323020037001,2023-02-28 22:00:00
1469954,1,44023020018001,30023020025001,2023-02-28 23:50:00
1469968,1,43122090219001,43123030004001,2023-03-01 15:30:00
1469968,1,43123020022001,43123030004001,2023-03-01 15:30:00
1469992,1,44023020005001,44023030001001,2023-03-01 01:40:00
1470044,1,43122090219001,43123030019001,2023-03-03 13:40:00
1470044,1,43123020022001,43123030019001,2023-03-03 13:40:00
1470047,1,43123030019001,43323030004001,2023-03-06 11:00:00
1470118,1,30023020018001,43223020003001,2023-03-06 17:30:00
1470119,1,43322120001001,43123010044001,2023-03-06 17:30:00
1470120,1,30023020018001,30020100006001,2023-03-06 17:35:00
1470120,1,43322120001001,30020100006001,2023-03-06 17:35:00
1470147,1,43123010038001,43223010003001,2023-03-03 20:00:00
1470163,1,43122090219001,43123030041001,2023-03-07 13:00:00
1470163,1,43123020022001,43123030041001,2023-03-07 13:00:00
1470165,1,43123020022001,43122090219001,2023-03-07 23:50:00
1470187,1,28200001431001,43123020181001,2023-03-05 12:00:00
1470223,1,30023020025001,30023030006001,2023-03-05 15:00:00
1470224,1,44023020024001,30023030007001,2023-03-05 15:00:00
1470226,1,28000001433002,43123020181001,2023-03-05 15:00:00
1470228,1,28000001434001,28000001433001,2023-03-01 15:00:01
1470237,1,31122050002001,43323030007001,2023-03-05 16:00:00
1470243,1,31122050002001,43323030007001,2023-03-05 17:00:00
1470248,1,31122050002001,43323030007001,2023-03-05 17:30:00
1470251,1,31122050002001,43323030007001,2023-03-05 18:00:00
1470270,1,44023020012001,28000001437001,2023-03-05 21:30:00
1470272,1,30022080221001,43323030014001,2023-03-02 19:00:00
1470272,1,30022080229001,43323030014001,2023-03-02 19:00:00
1470292,1,43323020023001,43123030030001,2023-03-08 04:00:00
1470293,1,43323020023001,43123030031001,2023-03-08 04:00:00
1470335,1,43122020096001,43322120017001,2023-03-08 17:00:00
1470336,1,43122020096001,43322120017001,2023-03-08 17:00:00
1470338,1,43123020022001,43223020023001,2023-03-09 09:00:00
1470339,1,43123020022001,43223010034001,2023-03-09 09:00:00
1470340,1,43123020022001,30023020023001,2023-03-09 09:05:00
1470382,1,43122090034001,43323030015001,2023-03-09 20:00:00
1470407,1,31122050002001,43323030018001,2023-03-05 20:00:00
1470410,1,31122050002001,43323030018001,2023-03-05 21:00:00
1470436,1,31122050002001,43323030007001,2023-03-06 18:40:00
1470449,1,44023030001001,43123030041001,2023-03-08 16:20:00
1470463,1,43123030041001,43323030023001,2023-03-09 09:00:00
1470464,1,43123030041001,46023010020001,2023-03-09 09:05:00
1470472,1,43323020023001,43323020019001,2023-03-08 18:00:00
1470474,1,43323020023001,43123030004001,2023-03-09 20:00:00
1470485,1,43122100006001,30023030011001,2023-03-10 13:30:00
1470506,1,31122050002001,43323030007001,2023-03-08 08:00:00
1470525,1,44022080026001,44023030001001,2023-03-09 17:15:00
1470600,1,43323030014001,43223030007001,2023-03-15 18:30:00
1470624,1,43323030014001,43223020005001,2023-03-15 18:30:00
1470664,1,43323020023001,43122120077001,2023-03-14 20:00:00
1470707,1,44521030243003,43223010034001,2023-03-17 02:30:00
1470724,1,28200001441001,28200001431004,2023-03-12 00:01:00
1470741,1,43323020023001,43323020033001,2023-03-17 09:00:00
1470744,1,43323020023001,43123030026001,2023-03-17 20:10:00
1470753,1,31122050002001,43323030018001,2023-03-09 09:31:00
1470755,1,31122050002001,43323030018001,2023-03-09 09:32:00
1470759,1,31122050002001,43323030007001,2023-03-09 10:00:00
1470768,1,31122050002001,43323030007001,2023-03-10 07:00:00
1470771,1,31122050002001,43323030018001,2023-03-11 07:00:00
1470774,1,31122050002001,43323030018001,2023-03-11 15:00:00
1470855,1,44023020011001,44023020012001,2023-03-14 16:15:00
1470861,1,43323020023001,43323020033001,2023-03-18 20:00:00
1470965,1,28000001444001,28000001437001,2023-03-09 22:00:00
1470975,1,44023030001001,30023030021001,2023-03-09 17:50:00
1470992,1,28200001443002,28000001451001,2023-03-12 08:00:00
1470999,1,31122050002001,43323030056001,2023-03-15 06:00:00
1471005,1,44023020012001,44022110026001,2023-03-15 13:12:00
1471011,1,31122050002001,43323030058001,2023-03-16 07:00:00
1471014,1,28100001457001,28100001456002,2023-03-11 12:30:01
1471020,1,28100001459004,28200001455001,2023-03-12 10:00:00
1471021,1,28100001459004,28200001455003,2023-03-12 10:00:00
1471024,1,28100001459005,28100001458001,2023-03-12 13:00:00
1471025,1,28100001459006,46223030001001,2023-03-12 13:00:00
1471052,1,31122050002001,28000001445001,2023-03-12 10:05:00
1471122,1,31122050002001,43323030062001,2023-03-17 20:01:00
1471125,1,31122050002001,43323030063001,2023-03-17 10:00:00
1471158,1,31122050002001,43123030183001,2023-03-18 15:00:00
1471170,1,31122050002001,43323030062001,2023-03-18 06:00:00
1471171,1,31122050002001,43323030067001,2023-03-18 06:00:00
1471188,1,44623030007001,43123030182001,2023-03-18 23:05:00
1471372,1,28200001471001,28200001469001,2023-03-18 20:00:01
1471374,1,28100001472001,28100001467001,2023-03-17 13:00:01
1471503,1,43323030015001,43123030226001,2023-03-19 22:00:00
1471553,1,43122090034001,43123030138001,2023-03-09 13:45:00
1471554,1,43122090034001,30022080214001,2023-03-09 13:45:00
1471913,1,28100001459008,28200001455002,2023-03-13 14:30:00
1471920,1,28100001459008,46023030032001,2023-03-13 15:30:00
1470955,1,43323030023001,43223010034001,2023-03-21 22:00:00
1470959,1,43122090219001,43123030153001,2023-03-22 11:40:00
1470959,1,43123020023001,43123030153001,2023-03-22 11:40:00
1470961,1,43122090219001,43123030154001,2023-03-22 15:45:00
1470961,1,43123020023001,43123030154001,2023-03-22 15:45:00
1471236,1,31122050002001,43323030067001,2023-03-21 01:00:00
1471343,1,31122050002001,43323030062001,2023-03-21 21:00:00
1471345,1,31122050002001,43323030062001,2023-03-22 17:00:00
1471353,1,30023030006001,43123030200001,2023-03-23 15:20:00
1471353,1,30023030007001,43123030200001,2023-03-23 15:20:00
1471353,1,44023030008001,43123030200001,2023-03-23 15:20:00
1471443,1,30022120016001,43123030216001,2023-03-24 10:00:00
1471444,1,30022120016001,43123030217001,2023-03-24 10:00:00
1471445,1,30022120016001,43123030218001,2023-03-24 10:00:00
1471490,1,44623030007001,43123030220001,2023-03-24 20:00:00
1471490,1,31122050002001,43123030220001,2023-03-24 20:00:00
1471493,1,44023030031001,43123030223001,2023-03-25 23:30:00
1471494,1,43123030223001,43123030221001,2023-03-25 23:55:00
1471524,1,43123030154001,43323030079001,2023-03-25 17:50:00
1471526,1,43123030153001,43323030080001,2023-03-26 04:00:00
1471527,1,43123030153001,46023030025001,2023-03-26 04:05:00
1471532,1,31122050002001,43323030035001,2023-03-22 20:00:00
1471569,1,43123020023001,43122090219001,2023-03-25 16:30:00
1471592,1,28000001476001,44523030033001,2023-03-31 10:21:01
1471595,1,43323030004001,43123020023001,2023-03-24 20:00:00
1471658,1,28000001480001,28000001464001,2023-03-21 19:00:01
1471673,1,44023030036001,43123030253001,2023-03-23 17:30:00
1471675,1,31122050002001,43323030088001,2023-03-23 18:00:00
1471681,1,31122050002001,43323030093001,2023-03-24 23:18:00
1471687,1,31122050002001,43323030093001,2023-03-24 23:26:00
1471691,1,31122050002001,43323030093001,2023-03-24 23:30:00
1471694,1,31122050002001,43323030098001,2023-03-24 23:36:00
1471715,1,31122050002001,43323030098001,2023-03-25 13:00:00
1471718,1,31122050002001,43323030100001,2023-03-26 08:00:00
1471721,1,31122050002001,43323030100001,2023-03-26 12:00:00
1471724,1,31122050002001,43323030100001,2023-03-27 08:00:00
1471733,1,44623030007001,43123030220001,2023-03-28 11:30:00
1471782,1,31122050002001,43323030103001,2023-03-28 08:00:00
1471785,1,31122050002001,43323030103001,2023-03-29 07:50:00
1471791,1,31122050002001,43323030106001,2023-03-30 03:30:00
1471797,1,43123030253001,44023030035001,2023-03-23 18:00:00
1471880,1,30022080221001,30022080214001,2023-03-27 00:00:00
1471883,1,30022080221001,43123020151001,2023-03-28 00:00:00
1471884,1,30022080229001,30022080222001,2023-03-28 00:00:00
1471885,1,43121120163001,43123030277001,2023-03-29 18:00:00
1471885,1,43223020023001,43123030277001,2023-03-29 18:00:00
1471896,1,31122050002001,28100001484001,2023-03-28 04:00:00
1471898,1,31122050002001,43123030281001,2023-03-28 06:00:00
1471930,1,28100001485005,28100001483001,2023-03-26 10:00:00
1471948,1,44023030023001,44623030007001,2023-03-28 16:30:00
1471948,1,44023030030001,44623030007001,2023-03-28 16:30:00
1471949,1,44623030007001,30023030036001,2023-03-28 16:31:00
1471964,1,44023030017001,43323030085001,2023-03-30 22:00:00
1471982,1,28000001488001,44523030041001,2023-03-31 18:37:01
